#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE     VSTAT     VSYS      VMEAS     VMEASERR  VSYSERR   VERR     
53.88056  -54.06421 20.10796  19.56660  0.09510   0.12615   12.85280  58.21672  0.25111   -1.44462  57.02320  1.47640   1.50000   2.10470  
54.06675  -53.92319 19.91186  19.84568  0.08626   0.11443   10.26830  79.06115  2.15677   2.23822   83.45614  1.93287   1.50000   2.44662  
54.01260  -54.01457 19.96372  19.68107  0.01634   0.02168   11.79277  52.08873  -2.00832  0.30201   50.38242  1.63705   1.50000   2.22034  
53.81752  -53.81384 19.10824  18.54275  0.21497   0.28514   28.16990  59.75400  -0.62886  -2.05114  57.07399  0.57578   1.50000   1.60671  
54.24896  -53.96073 19.91175  19.84593  0.15158   0.20106   10.26600  43.34598  -1.71923  0.26975   41.89650  1.93338   1.50000   2.44703  
54.07712  -53.97494 19.96644  19.67320  0.05181   0.06872   11.86564  50.45405  -0.48018  0.68058   50.65445  1.62499   1.50000   2.21147  
53.85306  -54.05991 19.88907  19.92203  0.10506   0.13936   9.56127   37.89531  -1.02921  -1.24426  35.62184  2.10563   1.50000   2.58528  
54.23184  -53.83092 19.31974  18.78945  0.21733   0.28828   23.77725  68.22315  0.68990   -2.50149  66.41156  0.70568   1.50000   1.65770  
53.92059  -54.02284 19.96493  19.68107  0.05195   0.06891   11.79277  51.31326  1.27506   -0.38786  52.20046  1.63705   1.50000   2.22034  
53.80277  -54.17661 19.81076  19.40440  0.21113   0.28005   14.72364  57.81546  0.11592   4.01839   61.94977  1.25424   1.50000   1.95528  
54.14326  -54.16268 20.98753  20.50225  0.18311   0.24289   5.70665   61.64816  -3.66202  -1.11729  56.86885  3.91149   1.50000   4.18924  
54.25285  -54.04419 19.11098  18.54591  0.15497   0.20557   28.11358  41.88935  -1.09844  1.20300   41.99391  0.57717   1.50000   1.60721  
54.02612  -53.76642 19.94172  19.78448  0.23409   0.31051   10.83510  63.31624  -0.14904  -0.50666  62.66054  1.81218   1.50000   2.35244  
53.73930  -54.14227 19.95975  19.73697  0.20891   0.27711   11.27505  43.10720  -3.69741  0.98429   40.39408  1.72766   1.50000   2.28797  
53.70946  -53.95579 20.94105  20.45345  0.17649   0.23411   6.00656   65.06287  2.28749   0.54862   67.89898  3.67831   1.50000   3.97240  
54.07490  -54.16929 18.05904  17.25424  0.17489   0.23199   64.51279  61.07534  -0.01503  0.78569   61.84600  0.21302   1.50000   1.51505  
54.07344  -53.93095 19.32814  18.79971  0.08145   0.10804   23.59451  52.34752  1.13788   0.40036   53.88577  0.71224   1.50000   1.66051  
52.67923  -52.59736 19.89236  19.90277  1.60943   2.13539   9.73961   67.29734  1.37236   0.35969   69.02939  2.05944   1.50000   2.54781  
53.97928  -54.18054 20.34838  19.82442  0.18095   0.24002   10.46523  48.74105  5.50125   1.02477   55.26707  1.88930   1.50000   2.41236  
54.13097  -53.99293 20.25772  19.72774  0.07731   0.10255   11.36053  56.91319  0.08318   -0.33427  56.66210  1.71207   1.50000   2.27622  
53.94688  -53.74010 20.33072  19.80556  0.26178   0.34724   10.63987  61.00913  2.42175   -0.30419  63.12669  1.85215   1.50000   2.38337  
53.89262  -53.98613 19.96468  19.70803  0.06463   0.08573   11.54310  65.81704  -0.54336  0.85160   66.12528  1.67963   1.50000   2.25192  
52.76252  -53.23725 20.09993  19.55794  1.05854   1.40426   12.93298  60.22203  2.53436   4.23587   66.99226  1.46542   1.50000   2.09701  
54.64693  -54.11202 19.89427  19.93086  0.39592   0.52518   9.47949   65.18366  5.56055   -1.18093  69.56328  2.12744   1.50000   2.60308  
54.36003  -54.27656 19.90820  19.85362  0.34781   0.46136   10.19484  71.22020  -1.80459  1.18225   70.59786  1.94959   1.50000   2.45986  
54.11878  -54.15343 19.77632  19.20877  0.16851   0.22352   17.28974  57.73571  -0.03352  -0.41271  57.28949  1.03432   1.50000   1.82204  
53.88283  -53.89485 19.82968  19.26632  0.12575   0.16680   16.53492  58.98686  -0.25817  -1.36652  57.36217  1.09123   1.50000   1.85494  
54.00444  -53.99363 20.79166  20.29622  0.00689   0.00913   6.98876   50.47417  -0.92575  -0.82501  48.72341  3.06704   1.50000   3.41420  
54.28539  -53.43327 20.10492  19.56333  0.59135   0.78443   12.88313  55.46869  -2.13807  -1.43957  51.89106  1.47223   1.50000   2.10177  
